ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
14334,83.82481732072188,-5.426142413679894,2.340001101434046,0.12608115958751656,16.01345443725586,no,no,yes,no,yes,unknown,yes,no
15546,83.89314533964023,-5.449940772747869,5.627540886352441,0.2398145166060148,23.77664566040039,yes,no,yes,unknown,unknown,unknown,yes,no
14335,83.85933967865834,-5.3551677733585015,2.918293281807044,0.09646328381052478,25.9156436920166,yes,no,yes,no,no,unknown,yes,no
14603,58.170015923623325,17.10259134160226,5.403865126886432,0.2189014427420218,51.765628814697266,yes,no,no,no,no,unknown,yes,no
17251,56.626320853631256,24.085355498883935,3.7787545552035255,0.15669060567031645,10.24367618560791,yes,no,yes,no,no,unknown,no,no
17252,56.59806108895215,24.03060218984463,5.472400489927604,0.17919602451133465,37.01411819458008,yes,no,yes,no,no,unknown,no,no
17735,83.78996798072578,-5.472949724048934,5.335733044237428,0.07524590423327479,101.71758270263672,yes,no,yes,no,yes,unknown,yes,no
19940,169.14043571038093,-76.50423065166049,5.4710952618947895,0.20051403805682338,46.75261688232422,yes,no,no,no,no,unknown,yes,no
18927,83.8739415926579,-4.997375920735759,0.22559062712340072,0.13865891257770357,11.376157760620117,no,no,no,no,no,unknown,no,no
20882,83.91043308386178,-4.994803855889989,1.9892243275626973,0.03764221587036416,210.09417724609375,yes,no,yes,no,no,unknown,yes,no
20883,83.76914997593796,-4.974992621874784,6.651640993771235,0.5598536293281211,9.206341743469238,yes,yes,no,no,no,unknown,yes,no
19709,285.39106557499707,-36.96259866525475,3.3390571501228155,0.04731939430685726,312.09429931640625,no,yes,yes,no,no,unknown,yes,no
21854,83.86153041323357,-5.348074208162318,2.8261228430216265,0.1345202344020775,14.537013053894043,yes,no,yes,no,no,unknown,yes,no
21855,83.93961095115155,-5.344036123786797,6.820089555270234,0.5071270323026713,10.759479522705078,yes,no,no,no,no,unknown,yes,no
23377,45.46175607369502,-16.594963469672816,0.29019943931565584,0.05885969141565862,75.3614273071289,yes,no,no,no,no,unknown,no,no
23406,65.43545428310547,20.402838534398043,0.12239395857031768,0.04164006301281269,133.28614807128906,yes,no,yes,no,no,unknown,no,no
24309,68.80743005433592,20.133203397517192,0.10171196045810608,0.10191325104163043,20.501455307006836,yes,no,no,no,no,unknown,no,no
24310,68.80741121489748,20.133251639854098,0.07051267699686235,0.13094271536804092,13.952150344848633,yes,no,no,no,no,unknown,no,no
26974,83.83851900252141,-5.4157972775009044,1.5850688147861673,0.0405638510414022,135.7306671142578,yes,no,no,no,no,unknown,no,no
27059,83.85232485017701,-5.35113035300317,3.0700516163780747,0.15082761058909927,18.89103126525879,no,no,no,no,no,unknown,yes,no
29116,83.85675038144969,-5.505738161060549,6.987094342139304,0.06327699555605869,553.123046875,yes,yes,no,no,no,unknown,yes,no
29128,83.8332980619142,-5.420580788287805,1.677632142848779,0.13513216863503347,17.386167526245117,no,no,no,no,no,unknown,no,no
65,119.57425658272743,-60.84480629879196,3.352749929015936,0.04988195017351264,146.76602172851562,yes,no,no,no,no,unknown,yes,no
4541,11.439842736827224,41.66173757281436,4.531545667737483,0.01593889385700547,2334.32177734375,no,yes,yes,no,no,unknown,no,yes
6167,11.570098391766095,41.6157493371073,6.248963174515899,0.3309599439433757,27.0535831451416,yes,yes,yes,no,no,unknown,yes,yes
7453,137.8455764909109,-64.9052545296274,4.659404937963851,0.3545927705437148,9.879050254821777,yes,no,no,no,no,unknown,yes,no
7461,265.1562223472962,-53.696504755552716,1.5753133655640723,0.0875124055640981,18.6752872467041,yes,no,no,no,no,unknown,no,no
2736,6.044029971682326,-72.09145224631821,0.6454216652343023,0.14874959719860717,8.0218505859375,no,no,no,no,no,unknown,no,no
2737,6.004103167786457,-72.08147114334206,1.278046327847518,0.015318378790868665,343.0146484375,no,no,yes,no,no,unknown,no,no
2738,6.004027909751677,-72.08146283871743,1.2533119882051347,0.012444326935906457,557.3668823242188,no,no,yes,no,no,unknown,no,no
12461,278.935670855649,-32.994011572593124,0.3934113857956741,0.011031331828891253,630.2131958007812,no,no,yes,no,no,unknown,no,no
14231,359.5099734875281,-32.74356836938804,11.268806893957887,0.9723506998743432,4.2261857986450195,no,no,no,no,no,unknown,no,no
13733,283.8266420514652,-22.75527869258222,4.539367088554601,0.26777212995422117,15.640249252319336,no,no,no,no,no,unknown,yes,no
14664,17.451000072347398,-72.67260477082696,6.9158800083874095,0.5180484854321288,9.633183479309082,yes,no,no,no,yes,unknown,no,yes
15497,17.977250962454427,-72.76586457354671,3.605065447394337,0.1854151504222949,12.08076286315918,yes,yes,yes,no,yes,unknown,no,yes
14668,13.621484572890093,-72.51859929025447,8.374344796053373,0.20761115288093338,78.63874816894531,yes,yes,yes,no,no,unknown,no,yes
15504,14.259008163786325,-72.43211235692685,5.992725622409288,0.01464472414063322,2411.9150390625,yes,yes,no,no,yes,unknown,unknown,yes
15747,6.017630117399457,-72.08294945255236,0.35924266468775007,0.017272054732423988,397.6302490234375,yes,no,yes,no,no,unknown,no,no
16527,6.018029449774867,-72.08282464191505,0.24065599630257978,0.012793303496270255,644.912109375,yes,no,yes,no,no,unknown,no,no
16528,6.01762905657859,-72.08286654377639,0.38133086195455523,0.011266703908941357,646.2240600585938,yes,no,yes,no,no,unknown,no,no
15804,60.731160497492844,-67.69056106749785,19.046712435989473,0.0,4.836564540863037,no,no,no,no,no,unknown,no,no
18987,278.93191294022887,-32.990713664565696,0.36133206580254934,0.007506365238439191,2296.16748046875,no,no,yes,no,no,unknown,no,no
18997,324.96083813612705,-23.06421515122257,9.924221430665716,0.13346332945519335,38.612213134765625,yes,no,no,no,no,unknown,no,no
22359,287.846428153368,-53.191727062771655,10.60169769690846,1.0885097209087136,8.31972885131836,no,no,no,no,no,unknown,no,no
24280,285.03350700305936,-24.92911919402428,0.6168284066251082,0.11124571998827458,15.392475128173828,yes,no,yes,no,no,unknown,yes,no
23494,11.823086191713536,-25.303239910047548,5.564284864731671,0.11997299899761725,59.395652770996094,no,yes,yes,no,no,unknown,no,yes
27072,82.66347102635672,-67.18290007067952,1.8408348839590443,0.2058514998001165,10.309547424316406,yes,yes,no,no,no,unknown,no,no
125,76.81305899077184,-68.75188179379225,10.802950701345782,0.8212221350452984,10.436074256896973,no,no,no,no,no,unknown,no,no
1967,83.86452509986952,-69.31309498878134,2.541986089444775,0.19131177446303727,11.199470520019531,yes,no,yes,no,no,unknown,no,yes
2735,6.093766113664906,-72.0733803493666,0.7768978641201602,0.21445008628148504,6.038766384124756,yes,no,no,no,no,unknown,no,no
3871,62.80178746130919,-31.403965519254186,3.042054569556212,0.18552216848668018,11.191935539245605,yes,no,no,no,no,unknown,yes,no
5549,85.04659368311235,-69.3317535652186,0.3257727942633439,0.0072579110591363075,3535.6201171875,yes,no,no,no,no,unknown,no,no
6178,83.86678181312801,-69.26978777122271,0.2748545802531223,0.010740048089519024,1658.077880859375,no,no,yes,no,no,unknown,no,yes
6668,83.86665971481149,-69.26977959889018,0.30149882248196125,0.0061927292025959245,3372.00341796875,no,no,yes,no,no,unknown,no,yes
6669,83.86668290347433,-69.26969993950051,0.29382299856122823,0.006664489178479795,3340.435546875,no,no,yes,no,no,unknown,no,yes
7569,95.2247087381081,-62.38769698532412,4.450916831206653,0.12139694259595657,58.700103759765625,yes,yes,yes,no,no,unknown,yes,no
7636,83.86671773053803,-69.26974759059496,0.3800061341752121,0.006001977533210075,3565.796630859375,no,no,yes,no,no,unknown,no,yes
7637,83.86660127560611,-69.26971492717992,0.10034442163164144,0.006456501391434203,3488.83154296875,no,no,yes,no,no,unknown,unknown,yes
9100,16.442955934293376,-72.04335941809478,3.6578410005211586,0.1502365489140764,17.585453033447266,yes,yes,yes,no,yes,unknown,no,yes
9810,16.008737587039057,-72.03121135513476,10.830272333956511,0.04735298305330569,1412.1795654296875,no,yes,no,no,no,unknown,no,no
14208,59.371376715293955,32.155379693834284,6.540471724025669,0.12510468540020148,160.57763671875,yes,yes,yes,no,no,unknown,yes,no
14800,254.91988883855538,-60.33011589095472,9.59149078179507,1.2892540807277704,5.110776901245117,yes,yes,no,no,no,unknown,yes,no
16000,24.18399913037272,15.805134789746912,3.2931965233793434,0.15122797768444574,17.863365173339844,no,yes,yes,no,yes,unknown,no,yes
20074,77.32151650355456,-68.68122150522339,3.001986167254528,0.25974150397174045,11.532700538635254,yes,no,yes,no,no,unknown,no,no
22006,83.8666386865846,-69.26963686896424,5.223539861979885,0.0159038252542378,2129.94287109375,no,no,yes,no,no,unknown,no,no
22442,77.14468755616073,-67.51935588504972,5.34183443495648,0.4198227213544822,11.096719741821289,yes,no,yes,no,no,unknown,no,yes
23577,80.25909146125329,1.3356380536479076,1.5679089649127769,0.12482959953968366,16.6695613861084,yes,no,no,no,no,unknown,yes,no
5130,16.444098266976827,-72.04342141020099,7.215813572528106,0.9994279749358755,6.243900775909424,yes,yes,yes,no,yes,unknown,no,yes
5135,15.744399609359968,-72.0510388192874,4.759878244099779,0.37207571138459233,11.673443794250488,yes,yes,yes,no,no,unknown,no,yes
