ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
4394,225.7757529937807,-41.99164942664509,2.031734846418419,0.046937764466887154,72.89652252197266,yes,no,yes,no,no,unknown,no,no
4404,308.7531545577145,60.19180682275245,3.0107531868834276,0.0185839306287489,878.1814575195312,no,unknown,yes,no,yes,unknown,unknown,yes
10127,120.51750251276542,0.9864591387864796,10.686481576494456,0.38575493693527996,34.32182312011719,yes,yes,no,no,no,unknown,yes,no
10708,128.2144396915091,33.00303420752671,6.830603673175739,0.08994786487359473,392.2303771972656,yes,no,yes,no,no,unknown,no,no
12301,149.47156880621753,69.06333193144081,13.583332282258839,0.0440264127776346,1432.8125,no,yes,no,no,no,unknown,no,no
19029,212.0961184511475,52.29865617221532,7.284929939876144,0.49325791192836954,14.330483436584473,yes,no,no,no,no,unknown,yes,no
20998,202.44768984988445,47.161215892503535,2.946702952616894,0.14645426843337989,19.51130485534668,yes,no,yes,no,no,unknown,no,yes
23171,218.49648941548702,40.110219829459766,7.929137924065303,0.11129475908693057,306.11669921875,no,yes,no,no,no,unknown,no,no
28964,244.71666778935645,-1.9917586366433389,6.123377972479414,0.4046336859742479,6.603705406188965,no,no,no,no,no,unknown,no,no
27863,210.98237499860284,54.349463083590685,3.3348477800530283,0.16712409023974745,24.464717864990234,yes,yes,yes,no,yes,unknown,no,yes
316,201.3652781852084,-43.019348140609374,4.568891661462428,0.029028810309497506,726.08056640625,no,yes,no,no,no,unknown,no,no
324,190.74970931068003,2.659259579537538,2.93857230077007,0.13775648408437155,13.196573257446289,no,yes,yes,no,no,unknown,no,no
782,67.70059885077166,64.84735442933886,1.253592638059621,0.01690042556879843,239.7066650390625,yes,yes,yes,no,yes,unknown,no,yes
803,186.38160579588651,13.066448199381336,13.286152246690815,0.23417622284761772,129.07974243164062,no,no,no,no,no,unknown,no,no
1587,161.9499117391725,12.579308656998986,1.5951146390291069,0.09941809316205574,20.0872802734375,yes,no,no,no,no,unknown,yes,yes
2021,204.1624442820849,-33.965900728053846,10.155445074516459,0.18066188217803505,169.9014892578125,no,yes,yes,no,no,unknown,yes,yes
2025,167.86795032693072,55.67249662356522,2.407896549981085,0.2459696791317826,20.06584358215332,no,no,no,no,no,unknown,no,yes
2028,202.4109882362458,58.41817855568377,0.5694503601747621,0.011786643211988974,1345.8427734375,yes,yes,yes,no,yes,unknown,no,yes
